RegionSize,WriteAmp
256,0.7983534336
512,0.9125254154
1024,0.9702842236
2048,1.036476374
4096,1.034444809
8192,1.035977364
16384,1.036271095
18432,1.038828373
20480,1.358539343
22528,1.503426075
24576,1.608360767
26624,1.681452274
28672,1.736249924
30720,1.786276579
32768,1.819602013
34816,1.856842041
36864,1.876713514
38912,1.893642426
40960,1.917868853
43008,1.936532259
45056,1.954580069
47104,1.970157623
49152,1.984173536
51200,1.996604919
53248,2.007486582
55296,2.015207052
57344,2.022521019
59392,2.028713226
61440,2.034002066
63488,2.040292978
65536,2.043026686
131072,2.076053858
262144,2.076242447
524288,2.076369524
1048576,2.075001478
2097152,2.074094296
